date,3810369,3223344
1117-0-0,199,3
1117-0-1,200,5
1117-0-2,202,3
1117-0-3,188,3
1117-1-0,216,1
1117-1-1,216,2
1117-1-2,206,2
1117-1-3,209,2
1117-2-0,208,6
1117-2-1,198,3
1117-2-2,178,4
1117-2-3,183,2
1117-3-0,190,2
1117-3-1,158,2
1117-3-2,164,3
1117-3-3,148,1
1117-4-0,158,3
1117-4-1,169,1
1117-4-2,187,4
1117-4-3,176,4
1117-5-0,203,4
1117-5-1,170,7
1117-5-2,187,6
1117-5-3,181,3
1117-6-0,180,7
1117-6-1,181,12
1117-6-2,181,6
1117-6-3,202,1
1117-7-0,173,5
1117-7-1,187,3
1117-7-2,231,3
1117-7-3,203,4
1117-8-0,184,2
1117-8-1,205,4
1117-8-2,200,2
1117-8-3,196,1
1117-9-0,169,6
1117-9-1,185,3
1117-9-2,212,3
1117-9-3,245,3
1117-10-0,210,4
1117-10-1,222,6
1117-10-2,218,1
1117-10-3,262,4
1117-11-0,247,2
1117-11-1,278,1
1117-11-2,276,1
1117-11-3,254,3
1117-12-0,236,3
1117-12-1,257,7
1117-12-2,267,4
1117-12-3,281,5
1117-13-0,250,5
1117-13-1,241,5
1117-13-2,208,2
1117-13-3,222,5
1117-14-0,225,5
1117-14-1,213,2
1117-14-2,231,4
1117-14-3,230,4
1117-15-0,257,5
1117-15-1,247,11
1117-15-2,288,3
1117-15-3,270,2
1117-16-0,280,4
1117-16-1,315,5
1117-16-2,370,4
1117-16-3,284,7
1117-17-0,274,6
1117-17-1,261,2
1117-17-2,254,4
1117-17-3,261,7
1117-18-0,293,5
1117-18-1,239,4
1117-18-2,262,5
1117-18-3,260,4
1117-19-0,272,6
1117-19-1,307,4
1117-19-2,299,4
1117-19-3,233,7
1117-20-0,279,4
1117-20-1,272,1
1117-20-2,232,6
1117-20-3,251,7
1117-21-0,284,3
1117-21-1,246,3
1117-21-2,260,3
1117-21-3,275,3
1117-22-0,236,3
1117-22-1,244,2
1117-22-2,222,5
1117-22-3,275,2
1117-23-0,279,3
1117-23-1,274,2
1117-23-2,222,6
1117-23-3,233,1
1128-0-0,229,4
1128-0-1,221,1
1128-0-2,220,3
1128-0-3,196,4
1128-1-0,221,4
1128-1-1,213,4
1128-1-2,240,4
1128-1-3,212,1
1128-2-0,226,2
1128-2-1,230,4
1128-2-2,221,10
1128-2-3,232,2
1128-3-0,212,1
1128-3-1,231,2
1128-3-2,220,2
1128-3-3,206,3
1128-4-0,148,4
1128-4-1,178,1
1128-4-2,208,2
1128-4-3,193,2
1128-5-0,191,4
1128-5-1,192,4
1128-5-2,174,6
1128-5-3,152,3
1128-6-0,171,1
1128-6-1,176,4
1128-6-2,155,4
1128-6-3,171,4
1128-7-0,181,3
1128-7-1,201,1
1128-7-2,179,2
1128-7-3,197,3
1128-8-0,175,1
1128-8-1,178,4
1128-8-2,197,3
1128-8-3,188,3
1128-9-0,200,2
1128-9-1,176,2
1128-9-2,209,1
1128-9-3,235,4
1128-10-0,222,5
1128-10-1,228,2
1128-10-2,254,3
1128-10-3,260,4
1128-11-0,230,7
1128-11-1,227,3
1128-11-2,262,2
1128-11-3,267,8
1128-12-0,248,2
1128-12-1,238,1
1128-12-2,231,1
1128-12-3,229,2
1128-13-0,239,3
1128-13-1,221,6
1128-13-2,237,4
1128-13-3,235,3
1128-14-0,212,2
1128-14-1,191,2
1128-14-2,253,4
1128-14-3,286,5
1128-15-0,242,4
1128-15-1,263,4
1128-15-2,269,4
1128-15-3,294,4
1128-16-0,286,7
1128-16-1,257,8
1128-16-2,228,5
1128-16-3,295,3
1128-17-0,284,2
1128-17-1,281,1
1128-17-2,284,2
1128-17-3,244,7
1128-18-0,261,6
1128-18-1,249,1
1128-18-2,222,5
1128-18-3,237,5
1128-19-0,250,13
1128-19-1,262,4
1128-19-2,251,7
1128-19-3,280,5
1128-20-0,290,4
1128-20-1,290,5
1128-20-2,265,3
1128-20-3,292,6
1128-21-0,257,6
1128-21-1,291,4
1128-21-2,274,11
1128-21-3,306,3
1128-22-0,281,3
1128-22-1,256,2
1128-22-2,259,3
1128-22-3,268,6
1128-23-0,260,4
1128-23-1,218,7
1128-23-2,220,6
1128-23-3,241,4
1201-0-0,215,3
1201-0-1,247,5
1201-0-2,194,8
1201-0-3,198,10
1201-1-0,203,5
1201-1-1,204,5
1201-1-2,220,8
1201-1-3,215,4
1201-2-0,179,6
1201-2-1,210,8
1201-2-2,190,3
1201-2-3,157,4
1201-3-0,183,1
1201-3-1,216,3
1201-3-2,199,2
1201-3-3,179,1
1201-4-0,190,1
1201-4-1,156,3
1201-4-2,148,4
1201-4-3,151,4
1201-5-0,154,4
1201-5-1,184,5
1201-5-2,149,4
1201-5-3,179,2
1201-6-0,163,1
1201-6-1,149,3
1201-6-2,154,3
1201-6-3,166,2
1201-7-0,184,1
1201-7-1,174,1
1201-7-2,165,2
1201-7-3,154,2
1201-8-0,149,2
1201-8-1,146,1
1201-8-2,155,2
1201-8-3,167,2
1201-9-0,118,2
1201-9-1,148,2
1201-9-2,141,3
1201-9-3,140,3
1201-10-0,170,1
1201-10-1,180,2
1201-10-2,189,3
1201-10-3,213,3
1201-11-0,209,2
1201-11-1,240,2
1201-11-2,261,5
1201-11-3,254,2
1201-12-0,207,3
1201-12-1,226,2
1201-12-2,257,2
1201-12-3,251,4
1201-13-0,277,4
1201-13-1,254,4
1201-13-2,267,4
1201-13-3,258,3
1201-14-0,259,1
1201-14-1,274,5
1201-14-2,286,2
1201-14-3,287,5
1201-15-0,312,5
1201-15-1,272,4
1201-15-2,306,2
1201-15-3,291,4
1201-16-0,303,5
1201-16-1,325,4
1201-16-2,291,7
1201-16-3,266,7
1201-17-0,250,6
1201-17-1,319,7
1201-17-2,280,8
1201-17-3,297,7
1201-18-0,294,3
1201-18-1,243,2
1201-18-2,228,2
1201-18-3,270,1
1201-19-0,237,3
1201-19-1,254,3
1201-19-2,207,6
1201-19-3,205,3
1201-20-0,221,8
1201-20-1,247,4
1201-20-2,227,3
1201-20-3,226,3
1201-21-0,233,4
1201-21-1,233,3
1201-21-2,215,1
1201-21-3,246,2
1201-22-0,181,2
1201-22-1,163,3
1201-22-2,176,3
1201-22-3,175,1
1201-23-0,190,2
1201-23-1,153,3
1201-23-2,138,2
1201-23-3,126,3
